tf_id,transfac
1,H-2RIIBP
2,GATA-1
3,Elk-1
4,c-Myc
5,Max1
6,NFAT-1
7,E12
8,RFX2
9,TREB-1
10,c-Fos
11,c-Jun
12,AP-1
13,ITF-2
14,TFIID
15,IBP-1
16,Sp1
17,AP-3
18,LBP-1
19,USF
20,GR/PR
21,c-Rel
22,HSF2
23,HSF1_(long)
24,HSF1
25,TCF-1
26,CP2
27,MyoD
28,R1
29,AML1a
30,GHF-1
31,EIIaE-A
32,C/EBPbeta
33,T3R-alpha
34,HSF
35,DEF
36,NF1
37,IUF-1
38,Ets-1
39,ARP-1
40,p300
41,NF-IL6
42,BSAP
43,USF-1
44,USF1
45,GCF
46,Ker-1
47,NF-X3
48,Tal-1
49,PEA3
50,RXR-alpha
51,R2
52,CP1
53,CBP/CRF
54,PSE1
55,deltaCREB
56,ATF-1
57,Net
58,HSF-2
59,E2F-1
60,E2F-2
61,E2F-3
62,E2F-4
63,E2F-5
64,E2F
65,H4TF2
66,AP-4
67,EGR2
68,ENKTF1
69,RAR-beta2
70,SRF
71,GATA-2
72,Oct-4
73,TTF-1
74,AREB6
75,EF-1A
76,C/EBP
77,NF-S
78,YY1
79,Elf-1/NTF-1
80,RAR-beta
81,c-Myb
82,MBF-1
83,LyF-1
84,FOXD3
85,RAR-gamma
86,NF-ATx
87,NF-ATc
88,NF-ATc3
89,NF-ATp
90,NF-AT3
91,NF-AT
92,PR
93,E4F
94,GATA-3
95,HOXA5
96,p53
97,Hlf
98,STAT1alpha
99,STAT3
100,STAT2
101,STAT1beta
102,STAT4
103,STAT5
104,STAT5A
105,STAT5B
106,STAT6
107,STAT1
108,NP-TCII
109,Oct-2
110,Oct-1
111,EGR-1
112,TFII-I
113,CUTL1
114,MZF-1
115,TBP
116,PU.1
117,ANF
118,EGR-2
119,X2BP
120,Pu-box
121,MEF-2
122,AF-1
123,Oct-6
124,XBP-1
125,CBF-A
126,CBF-B
127,NF-Y
128,NF-YB
129,NF-YC
130,CP1A
131,CP1C
132,CBF-C
133,NF-YA
134,CBF_(2)
135,COUP
136,TEF1/GT-IIC
137,ER
138,SRY
139,HEB
140,E1A-F
141,T3R-beta
142,LEF-1
143,E4F1
144,RAR-alpha1
145,POU3F1
146,Myf-5
147,NRF-2
148,HOXD10
149,TEF2
150,AP-2alpha
151,AP-2alphaA
152,AP-2alphaB
153,AP-2gamma
154,AP-2beta
155,AP-2
156,CBF1
157,vHNF-1
158,NF-muE1
159,RelA
160,Ga
161,HNF-4alpha2
162,HNF-4alpha1
163,MLTF
164,Ig/EBP1
165,TTF-2
166,Lmo2
167,GT-IIA
168,NHP-1
169,HiNF-C
170,Elf-1
171,muEBP-C2
172,E47
173,CBF
174,ETF
175,NF-1
176,SAP-1
177,EF-C
178,NF-kB
179,Tal-1beta
180,NFdeltaE3A
181,SRF_(504_AA)
182,GLI
183,RFX
184,GR
185,IgPE-1
186,VDR
187,CTF
188,GR_alpha
189,GR_beta
190,HSF-1
191,Nkx6-1
192,NKX6A
193,NF-E2_p45
194,NF-E2
195,RFX1
196,HOXD8
197,ISGF2
198,ISGF1
199,GATA-1A
200,SOX-9
201,FOXL1
202,ELF-1
203,NF-CLE0a
204,NF-CLE0b
205,ISGF-3
206,aMEF-2
207,POU3F2
208,TGIF
209,APF
210,FOXJ2_(long_isoform)
211,FOXJ2
212,RAR-gamma1
213,DBP
214,core-BF
215,Tll
216,Nkx2-5
217,En-1
218,EBP-45
219,Msx-1
220,S8
221,EFII
222,TEF
223,c-Ets-1_54
224,c-Ets-1
225,GKLF
226,HSTF
227,Sox-5
228,FOXI1
229,NF-BA1
230,Myogenin
231,CRE-BP1
232,HOXA3
233,NF-E1b
234,MGF
235,AT-BP1/AT-BP2
236,NF-GMb
237,HNF-3B
238,TFE3-S
239,MAF
240,RAR
241,LVa
242,NF-X
243,PRDI-BF1
244,HIP1
245,IRF1
246,IRF-1
247,MAZ
248,c-Ets-2
249,deltaVII
250,p38erg
251,p55erg
252,p49erg
253,NF-kappaB1
254,NF-kappaB2
255,NF-kappaB
256,HIVEN86A
257,E4BP4
258,Pax-2a
259,Pax-2
260,Arnt
261,RORalpha1
262,EBP-1
263,NF-kappaB(-like)
264,MTB-Zf
265,NFe
266,ATF
267,H1TF1
268,NF-GMa
269,LF-A1
270,(2)
271,(long
272,isoform)
273,CD28RC
274,COUP-TF
275,COUP-TF1
276,C/EBPalpha
277,CHOP-10
278,GADD_153
279,ZID
280,NRF-1
281,SREBP-1b
282,SREBP-1c
283,SREBP-1a
284,SREBP-1
285,octamer-binding
286,factor
287,WT1
288,I
289,-KTS
290,FOXC1
291,Krox-20
292,EGR3
293,Krox-24
294,Egr-1
295,EGR1
296,LSF
297,delta_factor
298,POU2F1a
299,POU2F1
300,RREB-1
301,ER-alpha
302,ISGF-1
303,E
304,Spi-B
305,POU5F1A
306,POU5F1B
307,TFE3
308,RVF
309,POU2F2B
310,POU2F2C
311,oct-B2
312,POU2F2
313,POU2F2_(Oct-2.1)
314,oct-B3
315,NF-A
316,FOXF2
317,TEF-1
318,AP-5
319,B1
320,Pbx-1a
321,GABP
322,GABP-alpha
323,Cart-1
324,CACCC-binding
325,RSRFC4
326,HNF-4
327,CAC-binding
328,ADR1
329,twi
330,B-factor
331,P_(short_form)
332,P_(long_form)
333,Zta
334,Cdx-1
335,RC2
336,T-Ag
337,Ftz.2
338,erg
339,_00000
340,V$CAAT_01
341,Eve
342,MNB1b
343,LCR-F1
344,PUT3
345,v-Jun
346,Zmhoxla
347,TF68
348,PHO2
349,MPBF
350,NF-InsE2
351,IAF
352,NF-InsE3
353,NIT2
354,IHF
355,Dfd
356,Hb
357,Ttk
358,SIF
359,CAP/CRP
360,MATa2
361,MAT-alpha-2
362,V$CAP_01
363,CCBF/SW4+SW6
364,CAC-binding_protein
365,GCN4
366,GT-IIBa
367,MNF1
368,Zeste
369,F$STRE_01
370,HAP
371,CF2-II
372,MATalpha2
373,LRF-1
374,Sin
375,DSXF/DSXM
376,MIG1
377,zeste
378,PEB1
379,ETFA-E4F
380,GT-1
381,Ttk_88K
382,LVc
383,NF-uE4
384,E-box-factor
385,NF-uE2
386,CF1
387,Eryf1
388,Cad
389,Prd
390,HBP-1a
391,HBP-1b
392,CACCC-binding_factor
393,E2A
394,ASF-1
395,HBP-1
396,NF-uE5
397,Sn
398,NIP
399,CAC-BF
400,GAMYB
401,fI-fII
402,SEF1
403,GAGA
404,Dof2
405,MEP-1
406,STE12
407,Zen
408,mat1-Mc
409,SEF4
410,RORalpha2
411,CREB
412,RXR-beta
