0,'Chocolate','OOOO',8.95,'AAA'
1,'Lemon','OOOO',8.95,'AAA'
2,'Casino','OOOO',15.95,'AAA'
3,'Opera','OOOO',15.95,'AAA'
4,'Strawberry','OOOO',11.95,'AAA'
5,'Truffle','OOOO',15.95,'AAA'
6,'Chocolate','FFFF',3.25,'AAA'
7,'GGGG','FFFF',3.5,'AAA'
8,'Vanilla','FFFF',3.25,'AAA'
9,'Napoleon','OOOO',13.49,'AAA'
10,'Almond','GGGG',3.75,'AAA'
11,'Apple','NNNN',5.25,'AAA'
12,'Apple','GGGG',3.25,'AAA'
13,'Apricot','GGGG',3.25,'AAA'
14,'Berry','GGGG',3.25,'AAA'
15,'Blackberry','GGGG',3.25,'AAA'
16,'Blueberry','GGGG',3.25,'AAA'
17,'Chocolate','GGGG',3.75,'AAA'
18,'Cherry','GGGG',3.25,'AAA'
19,'Lemon','GGGG',3.25,'AAA'
20,'Pecan','GGGG',3.75,'AAA'
21,'Ganache','HHHH',1.15,'AAA'
22,'Gongolais','HHHH',1.15,'AAA'
23,'Raspberry','HHHH',1.09,'AAA'
24,'Lemon','HHHH',0.79,'AAA'
25,'Chocolate','MMMM',1.25,'AAA'
26,'Vanilla','MMMM',1.15,'AAA'
27,'Marzipan','HHHH',1.25,'AAA'
28,'Tuile','HHHH',1.25,'AAA'
29,'Walnut','HHHH',0.79,'AAA'
30,'Almond','QQQQ',1.45,'AAA'
31,'Apple','QQQQ',1.45,'AAA'
32,'Apricot','QQQQ',1.45,'AAA'
33,'Cheese','QQQQ',1.75,'AAA'
34,'Chocolate','QQQQ',1.75,'AAA'
35,'Apricot','RRRR',1.15,'AAA'
36,'Apple','RRRR',1.15,'AAA'
37,'Almond','SSSS',1.15,'AAA'
38,'Almond','XXXX',1.95,'AAA'
39,'Blueberry','RRRR',1.15,'AAA'
40,'Lemon','YYYY',3.25,'Drink'
41,'Raspberry','YYYY',3.25,'Drink'
42,'Orange','ZZZZ',2.75,'Drink'
43,'Green','EEEE',1.85,'Drink'
44,'Bottled','DDDD',1.80,'Drink'
45,'Hot','GGGG',2.15,'Drink'
46,'Chocolate','GGGG',2.45,'Drink'
47,'Vanilla','IIII',3.85,'Drink'
48,'Cherry','JJJJ',1.29,'Drink'
49,'Single','KKKK',1.85,'Drink'
